x_acceleration,y_acceleration,z_acceleration,soco
"-1,214355","-0,401123","1,403076",1
"-1,143066","-0,6181641","1,147705",1
"-1,032959","-0,5939941","1,483643",1
"-0,8049316","-0,5239258","1,795654",1
"-0,7045898","-0,5002441","1,936035",1
"-0,6276855","-0,7067871","1,704346",1
"-0,4135742","-1,0271","1,325439",1
"-0,07104492","-1,130127","0,7670898",1
"0,2338867","-0,8322754","0,4016113",1
"0,2521973","-0,348877","0,4995117",1
"0,2402344","0,2275391","0,3435059",1
"0,4672852","1,070557","-0,2873535",1
"0,7536621","1,915527","-1,24707",1
"0,7060547","1,999939","-1,814209",1
"0,02612305","1,999939","-1,150635",1
"-0,8803711","1,999939","0,7758789",1
"-0,8605957","1,999939","1,969971",1
"-0,208252","1,999939","1,635254",1
"0,06738281","1,680664","0,7573242",1
"0,03491211","0,8937988","0,5085449",1
"-0,02246094","1,001221","0,6538086",1
"-0,02416992","1,437256","0,8579102",1
"0,1325684","1,543701","0,4204102",1
"0,4697266","1,559082","-0,01782227",1
"0,5649414","1,393555","-0,1437988",1
"0,4238281","1,021973","0,4797363",1
"0,1459961","0,9523926","0,9682617",1
"0,107666","0,4787598","0,5048828",1
"0,1047363","-0,137207","0,3388672",1
"-0,04125977","-0,1225586","0,8334961",1
"-0,05810547","-0,1184082","0,987793",1
"-0,4760742","-0,6408691","-0,1665039",0
"-0,6896973","-0,8098145","-0,06982422",0
"-0,7592773","-0,7419434","0,253418",0
"-0,7788086","-0,7504883","0,4785156",0
"-0,9047852","-0,8913574","0,4462891",0
"-1,025879","-1,084961","0,1606445",0
"-1,102783","-0,9296875","0,2407227",0
"-1,095703","-0,6757813","0,520752",0
"-1,03833","-0,5756836","0,4934082",0
"-0,9226074","-0,6069336","0,1352539",0
"-0,8642578","-0,6640625","0,01416016",0
"-0,8994141","-0,498291","0,2612305",0
"-0,9389648","-0,2661133","0,4365234",0
"-0,8886719","-0,2219238","0,2036133",0
"-0,7402344","-0,2734375","-0,04418945",0
"-0,8317871","-0,3720703","0,02270508",0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0