ax,ay,az,atotal,soco
-0.05,0.16,-0.3,2.63,0
-0.41,0.17,0.37,3.5,0
-0.15,-0.08,-0.68,0.7,0
-0.13,-0.14,-0.44,0.47,0
-0.05,-0.15,-0.15,0.21,0
-0.01,-0.07,0.03,0.07,0
0.02,-0.02,0.16,0.16,0
0.08,-0.03,0.18,0.19,0
0.1,-0.07,0.09,0.15,0
0.08,-0.12,-0.06,0.15,0
-0.01,-0.16,-0.21,0.26,0
-0.09,-0.15,-0.23,0.28,0
-0.07,-0.06,-0.18,0.2,0
-3.96,8.33,-3.39,9.82,1
-4.82,9.37,-3.53,11.11,1
-6.28,11.62,-3.61,13.69,1
-7.26,14.21,-3.44,16.32,1
-8.15,15.85,-3.34,18.13,1
-7.92,15.74,-3.23,17.91,1
-7.13,13.59,-2.97,15.63,1
-5.98,10.84,-2.7,12.67,1
-4.77,7.85,-2.55,9.53,1
15.72,-8.4,0.24,17.82,1
15.38,-19.96,4.13,25.53,1
15.33,-24.36,2.12,28.86,1
15.14,-11.48,-0.7,19.01,1
14.49,-5.82,2.5,15.81,1
14.41,-12.84,0.68,19.31,1
14.19,-9.28,3.87,17.39,1
13.99,-15.11,-0.41,20.59,1
13.84,-26.88,01.07,30.25,1
12.85,-18.79,0.09,22.76,1
12.58,-7.88,6.75,16.3,1
11.45,-19.18,-0.62,22.34,1
11.22,-25.27,0.89,27.66,1
10.62,-8.1,3.65,13.84,1
10.25,-5.18,8.38,14.21,1
-0.4,-0.63,0.81,1.1,0
-0.16,0.68,-0.86,1.1,0
-0.76,-1.75,-0.88,2.1,0
1.16,-0.33,0.07,1.2,0
-0.42,0.67,0.91,1.2,0
-0.27,01.09,0.45,1.2,0
-0.26,0.9,-0.76,1.2,0
0.55,0.84,-1.96,2.2,0
-2.65,-1.67,-0.7,3.2,0
-2.24,-2.03,-0.15,03.02,0
-0.22,2.85,0.98,03.02,0
1.36,0.18,3.98,4.2,0
-1.73,3.66,-1.12,4.2,0
0.72,4.73,02.04,5.2,0
-4.18,5.28,-2.55,7.2,0
0.16,-0.12,-1.1,1.11,0
-0.35,0.54,0.91,1.11,0
-0.33,01.01,-0.33,1.11,0
-0.04,01.09,-0.24,1.11,0
-0.5,03.07,0.13,3.11,0
-0.58,4.96,-1.17,5.12,0
0.02,0.0,0.02,0.02,0
0.02,0.01,0.0,0.02,0
0.01,-0.03,0.02,0.03,0
-0.02,0.0,-0.03,0.03,0
-0.02,0.0,-0.03,0.03,0
-0.01,-0.02,0.02,0.03,0
0.04,-0.01,0.01,0.04,0
0.01,-0.04,0.0,0.04,0
0.01,-0.04,0.02,0.04,0
0.01,-0.03,-0.03,0.04,0
-0.04,-0.01,-0.02,0.04,0
0.03,-0.03,0.04,0.05,0
0.03,0.02,-0.04,0.05,0
0.01,-0.05,0.0,0.05,0
0.01,-0.03,-0.04,0.05,0
-0.05,0.01,-0.02,0.05,0
-0.04,0.0,0.03,0.05,0
-0.02,-0.04,-0.03,0.05,0
-0.02,-0.05,-0.02,0.05,0
0.02,0.04,-0.04,0.06,0
0.01,-0.01,0.06,0.06,0
0.01,-0.02,-0.06,0.06,0
-0.06,-0.01,-0.03,0.06,0
-0.06,0.03,0.0,0.06,0
-0.04,0.01,-0.05,0.06,0
0.07,-0.01,0.03,0.07,0
0.05,-0.06,0.0,0.07,0
0.04,-0.05,0.04,0.07,0
0.0,-0.07,0.0,0.07,0
0.0,0.06,0.05,0.07,0
-0.07,0.01,-0.02,0.07,0
-0.03,0.03,-0.06,0.07,0
-0.03,0.06,0.04,0.07,0
-0.02,0.03,-0.07,0.07,0
-0.01,-0.07,0.03,0.07,0
0.08,-0.01,-0.01,0.08,0
0.07,0.02,-0.04,0.08,0
0.04,0.07,-0.03,0.08,0
0.01,-0.07,0.05,0.08,0
0.0,-0.04,-0.08,0.08,0
-0.08,0.0,0.04,0.08,0
-0.08,0.0,-0.02,0.08,0
-0.05,0.02,-0.06,0.08,0
-0.04,0.05,0.05,0.08,0
-0.04,-0.06,0.04,0.08,0
-0.03,0.02,-0.08,0.08,0
0.09,-0.04,-0.01,0.09,0
0.08,0.03,-0.03,0.09,0
0.06,0.06,-0.04,0.09,0
0.04,-0.01,-0.08,0.09,0
0.02,-0.09,-0.01,0.09,0
0.01,-0.04,0.08,0.09,0
-0.05,-0.03,0.08,0.09,0
-0.05,0.06,0.05,0.09,0
-0.03,-0.03,-0.08,0.09,0
-0.01,0.07,-0.06,0.09,0
-0.01,0.09,0.02,0.09,0
0.09,-0.06,-0.02,0.1,0
0.06,0.05,0.07,0.1,0
0.04,0.06,0.07,0.1,0
0.04,-0.04,-0.09,0.1,0
0.03,0.08,0.06,0.1,0
0.01,0.06,0.08,0.1,0
0.0,0.06,0.09,0.1,0
-0.1,0.04,0.0,0.1,0
-0.08,-0.06,-0.03,0.1,0
-0.08,-0.01,-0.07,0.1,0
-0.07,-0.07,0.04,0.1,0
-0.06,-0.09,0.02,0.1,0
-0.06,0.03,0.08,0.1,0
-0.04,-0.08,-0.06,0.1,0
-0.04,-0.06,0.08,0.1,0
-0.03,-0.09,-0.05,0.1,0
-0.02,-0.09,-0.04,0.1,0
-0.01,0.03,-0.1,0.1,0
0.1,0.03,-0.04,0.11,0
0.07,-0.05,0.08,0.11,0
0.04,0.03,-0.1,0.11,0
0.01,0.11,-0.02,0.11,0
0.01,-0.04,0.11,0.11,0
0.0,-0.11,-0.04,0.11,0
-0.09,-0.06,-0.05,0.11,0
-0.06,-0.02,-0.09,0.11,0
-0.05,-0.02,-0.1,0.11,0
-0.02,-0.03,-0.11,0.11,0
0.11,-0.04,0.04,0.12,0
0.1,-0.02,-0.07,0.12,0
0.04,-0.05,-0.11,0.12,0
0.03,-0.03,0.12,0.12,0
0.01,-0.02,0.12,0.12,0
-0.11,0.06,-0.03,0.12,0
-0.08,-0.01,-0.09,0.12,0
-0.08,-0.09,0.01,0.12,0
-0.07,-0.01,-0.1,0.12,0
-0.05,0.01,-0.11,0.12,0
-0.03,0.12,0.03,0.12,0
0.11,-0.03,0.08,0.13,0
0.08,-0.11,-0.01,0.13,0
0.05,-0.05,0.12,0.13,0
0.03,-0.1,0.08,0.13,0
0.0,-0.01,-0.13,0.13,0
-0.13,-0.01,-0.05,0.13,0
-0.12,0.05,0.01,0.13,0
-0.11,-0.07,0.02,0.13,0
-0.11,0.06,-0.05,0.13,0
-0.08,-0.08,0.07,0.13,0
-0.08,0.07,0.08,0.13,0
-0.07,0.1,0.05,0.13,0
-0.05,-0.05,-0.11,0.13,0
-0.05,0.11,-0.07,0.13,0
-0.04,0.13,0.01,0.13,0
-0.03,-0.06,-0.12,0.13,0
-0.02,0.08,-0.11,0.13,0
0.12,0.05,0.07,0.14,0
0.11,0.08,0.06,0.14,0
0.09,0.05,-0.1,0.14,0
0.07,-0.09,-0.09,0.14,0
0.06,0.05,-0.12,0.14,0
0.06,-0.03,0.13,0.14,0
0.06,-0.1,-0.09,0.14,0
0.04,-0.08,0.12,0.14,0
0.0,-0.1,-0.11,0.14,0
-0.12,0.08,0.03,0.14,0
-0.12,-0.08,0.01,0.14,0
-0.11,0.01,-0.1,0.14,0
-0.11,-0.09,-0.02,0.14,0
-0.01,-0.14,0.03,0.14,0
0.14,0.01,0.06,0.15,0
0.13,0.07,-0.03,0.15,0
0.1,-0.07,0.09,0.15,0
0.1,0.02,-0.11,0.15,0
0.08,-0.12,-0.06,0.15,0
0.08,0.02,0.13,0.15,0
0.08,0.02,0.13,0.15,0
0.07,0.06,-0.13,0.15,0
0.03,0.01,-0.15,0.15,0
0.0,0.07,-0.14,0.15,0
-0.13,0.01,-0.08,0.15,0
-0.11,-0.05,-0.1,0.15,0
-0.11,-0.1,-0.02,0.15,0
-0.11,-0.05,-0.09,0.15,0
-0.07,-0.13,-0.04,0.15,0
-0.06,-0.12,-0.07,0.15,0
-0.05,-0.1,0.1,0.15,0
-0.05,-0.13,0.06,0.15,0
-0.05,0.07,0.13,0.15,0
-0.04,0.1,-0.11,0.15,0
-0.01,0.13,-0.09,0.15,0
0.15,-0.07,0.01,0.16,0
0.13,-0.05,0.08,0.16,0
0.09,0.03,0.14,0.16,0
0.08,-0.1,-0.1,0.16,0
0.08,-0.14,-0.05,0.16,0
0.07,-0.14,0.05,0.16,0
0.05,0.01,-0.16,0.16,0
0.04,-0.11,-0.12,0.16,0
0.03,-0.09,-0.13,0.16,0
0.03,-0.1,0.13,0.16,0
0.02,-0.02,0.16,0.16,0
0.0,-0.01,-0.16,0.16,0
-0.16,0.02,-0.01,0.16,0
-0.15,0.0,0.07,0.16,0
-0.15,0.03,0.06,0.16,0
-0.14,-0.08,-0.02,0.16,0
-0.11,-0.06,-0.1,0.16,0
-0.1,-0.02,-0.13,0.16,0
-0.09,0.03,-0.13,0.16,0
-0.09,0.0,-0.14,0.16,0
-0.08,-0.05,0.14,0.16,0
-0.08,0.02,-0.14,0.16,0
-0.07,0.14,-0.04,0.16,0
-0.06,-0.15,0.0,0.16,0
-0.03,-0.15,0.06,0.16,0
-0.03,0.16,0.02,0.16,0
-0.02,0.03,0.16,0.16,0
0.07,-0.01,-0.16,0.17,0
0.06,0.0,-0.16,0.17,0
0.05,0.07,-0.15,0.17,0
0.03,-0.1,-0.14,0.17,0
0.02,0.12,-0.12,0.17,0
0.02,0.17,0.0,0.17,0
0.01,-0.13,0.12,0.17,0
-0.16,0.02,-0.06,0.17,0
-0.15,0.0,-0.09,0.17,0
-0.14,-0.03,-0.1,0.17,0
-0.14,0.04,-0.09,0.17,0
-0.1,-0.14,0.0,0.17,0
-0.06,-0.14,0.08,0.17,0
-0.06,-0.14,0.08,0.17,0
-0.04,-0.17,0.03,0.17,0
-0.01,-0.11,-0.14,0.17,0
0.15,0.02,0.11,0.18,0
0.07,-0.09,-0.15,0.18,0
0.06,-0.17,0.05,0.18,0
0.05,0.07,0.16,0.18,0
0.05,0.02,0.18,0.18,0
0.05,-0.07,-0.16,0.18,0
-0.16,-0.1,0.02,0.18,0
-0.16,0.04,-0.09,0.18,0
-0.12,0.04,-0.13,0.18,0
-0.11,0.05,-0.14,0.18,0
-0.1,-0.16,0.02,0.18,0
-0.07,0.14,-0.1,0.18,0
-0.06,-0.16,0.07,0.18,0
-0.06,-0.14,0.1,0.18,0
-0.06,-0.15,0.08,0.18,0
-0.05,-0.12,-0.13,0.18,0
-0.03,-0.17,-0.06,0.18,0
-0.03,-0.18,-0.03,0.18,0
0.18,0.02,-0.07,0.19,0
0.11,0.09,0.13,0.19,0
0.08,-0.03,0.18,0.19,0
0.08,0.06,0.17,0.19,0
0.06,-0.16,0.09,0.19,0
0.02,-0.09,0.17,0.19,0
-0.15,-0.01,-0.13,0.19,0
-0.12,0.05,-0.14,0.19,0
-0.11,-0.15,0.04,0.19,0
-0.09,0.08,-0.15,0.19,0
-0.05,-0.13,-0.13,0.19,0
0.15,0.07,-0.12,0.2,0
0.12,0.17,0.02,0.2,0
0.09,-0.13,-0.13,0.2,0
0.06,-0.06,-0.19,0.2,0
0.04,0.05,0.19,0.2,0
0.02,-0.04,0.2,0.2,0
0.0,-0.06,-0.2,0.2,0
0.0,-0.05,0.2,0.2,0
-0.2,-0.06,0.01,0.2,0
-0.16,0.06,0.12,0.2,0
-0.14,0.02,0.15,0.2,0
-0.12,-0.02,-0.17,0.2,0
-0.1,-0.14,-0.12,0.2,0
-0.08,-0.15,0.11,0.2,0
-0.08,-0.19,-0.03,0.2,0
-0.07,-0.06,-0.18,0.2,0
0.17,-0.06,0.11,0.21,0
0.16,-0.11,-0.1,0.21,0
0.14,-0.16,0.02,0.21,0
0.08,-0.13,-0.15,0.21,0
0.06,-0.05,0.2,0.21,0
0.05,0.09,0.19,0.21,0
0.03,-0.04,0.21,0.21,0
0.01,-0.21,-0.03,0.21,0
0.0,0.0,0.21,0.21,0
-0.21,-0.06,0.02,0.21,0
-0.21,0.0,-0.02,0.21,0
-0.18,0.03,-0.11,0.21,0
-0.18,-0.06,0.1,0.21,0
-0.16,-0.08,-0.11,0.21,0
-0.16,-0.11,-0.09,0.21,0
-0.16,0.09,0.12,0.21,0
-0.15,0.01,-0.16,0.21,0
-0.11,-0.18,-0.04,0.21,0
-0.1,-0.19,-0.04,0.21,0
-0.08,0.19,0.06,0.21,0
-0.06,0.18,-0.1,0.21,0
-0.06,-0.2,0.05,0.21,0
-0.05,-0.15,-0.15,0.21,0
-0.05,-0.14,-0.16,0.21,0
-0.04,-0.2,0.07,0.21,0
-0.04,0.08,-0.19,0.21,0
0.2,0.09,-0.05,0.22,0
0.18,-0.12,0.05,0.22,0
0.17,-0.01,0.14,0.22,0
0.15,-0.12,0.12,0.22,0
0.11,-0.2,0.0,0.22,0
0.09,0.09,0.19,0.22,0
0.08,0.04,0.21,0.22,0
0.04,-0.18,0.13,0.22,0
0.03,-0.02,0.22,0.22,0
0.02,-0.16,0.15,0.22,0
0.02,0.2,0.1,0.22,0
0.01,0.07,0.21,0.22,0
-0.22,0.0,0.01,0.22,0
-0.16,-0.12,-0.11,0.22,0
-0.12,-0.06,-0.18,0.22,0
-0.07,0.03,-0.21,0.22,0
-0.05,-0.21,-0.05,0.22,0
-0.04,-0.12,0.19,0.22,0
0.17,-0.13,0.1,0.23,0
0.1,-0.19,0.09,0.23,0
0.09,-0.12,-0.18,0.23,0
0.02,0.18,0.15,0.23,0
0.01,-0.23,0.02,0.23,0
-0.22,0.03,-0.09,0.23,0
-0.19,0.05,-0.13,0.23,0
-0.15,0.03,-0.18,0.23,0
-0.15,0.05,-0.18,0.23,0
-0.14,0.08,-0.17,0.23,0
-0.08,0.21,0.07,0.23,0
-0.01,-0.17,0.16,0.23,0
0.22,-0.06,0.08,0.24,0
0.09,0.17,0.15,0.24,0
0.04,-0.11,0.22,0.24,0
0.03,-0.15,0.19,0.24,0
-0.24,-0.02,0.01,0.24,0
-0.2,-0.05,-0.13,0.24,0
-0.17,-0.14,0.11,0.24,0
-0.16,-0.1,-0.16,0.24,0
-0.15,0.11,-0.16,0.24,0
-0.13,0.15,0.14,0.24,0
-0.11,-0.18,0.13,0.24,0
-0.11,-0.09,0.2,0.24,0
